Unnamed: 0,Mumbai.total.confirmed,Mumbai.total.deceased,Mumbai.total.recovered,Mumbai.delta.confirmed,Mumbai.delta.deceased,Mumbai.delta.recovered,Mumbai.delta.tested,Mumbai.total.tested,Mumbai.delta.other,Mumbai.total.other,Mumbai.total.deceased.shift,Mumbai.Levitt.Metric,Mumbai.MA.daily.tests,Mumbai.MA.daily.positivity,Mumbai.percent.case.growth
2020-05-23,28817.0,949.0,6381.0,1566.0,40.0,285.0,,164671.0,,,909.0,1.044004400440044,,,-0.10565391205025698
2020-05-24,30542.0,988.0,7083.0,1725.0,39.0,702.0,,164671.0,,,949.0,1.0410958904109588,,,0.1015325670498084
2020-05-25,31972.0,1026.0,7584.0,1430.0,38.0,501.0,10170.0,174841.0,,,988.0,1.0384615384615385,,0.14060963618485742,-0.17101449275362324
2020-05-26,32974.0,1065.0,8013.0,1002.0,39.0,429.0,,174841.0,,,1026.0,1.0380116959064327,,,-0.29930069930069925
2020-05-27,34018.0,1097.0,8408.0,1044.0,32.0,395.0,10860.0,185701.0,,,1065.0,1.0300469483568075,,0.09613259668508287,0.041916167664670656
2020-05-28,35485.0,1135.0,8650.0,1467.0,38.0,242.0,4266.0,189967.0,,,1097.0,1.0346399270738378,,0.3438818565400844,0.4051724137931034
2020-05-29,36932.0,1173.0,16008.0,1447.0,38.0,7358.0,,189967.0,,,1135.0,1.0334801762114538,,,-0.013633265167007469
2020-05-30,38442.0,1227.0,16364.0,1510.0,54.0,356.0,,189967.0,,,1173.0,1.0460358056265984,,,0.04353835521769178
2020-05-31,39686.0,1279.0,16791.0,1244.0,52.0,427.0,,189967.0,,,1227.0,1.0423797881010595,,,-0.17615894039735103
2020-06-01,41099.0,1319.0,16985.0,1413.0,40.0,194.0,11540.0,201507.0,,,1279.0,1.0312744331508992,,0.12244367417677643,0.13585209003215426
2020-06-02,42216.0,1368.0,17213.0,1117.0,49.0,228.0,,201507.0,,,1319.0,1.0371493555724034,,,-0.2094833687190375
2020-06-03,43492.0,1417.0,17472.0,1276.0,49.0,259.0,10574.0,212081.0,,,1368.0,1.0358187134502923,,0.12067334972574238,0.14234556848701874
2020-06-04,44931.0,1465.0,18096.0,1439.0,48.0,624.0,3748.0,215829.0,,,1417.0,1.0338743824982357,,0.3839381003201708,0.12774294670846387
2020-06-05,46080.0,1519.0,18778.0,1149.0,54.0,682.0,,215829.0,,,1465.0,1.0368600682593856,,,-0.2015288394718554
2020-06-06,47354.0,1577.0,19977.0,1274.0,58.0,1199.0,,215829.0,,,1519.0,1.0381830151415405,,,0.10879025239338547
2020-06-07,48774.0,1638.0,21190.0,1420.0,61.0,1213.0,,215829.0,,,1577.0,1.0386810399492707,,,0.11459968602825743
2020-06-08,50085.0,1702.0,22032.0,1311.0,64.0,842.0,,215829.0,,,1638.0,1.0390720390720392,,,-0.0767605633802817
2020-06-09,51100.0,1760.0,22943.0,1015.0,58.0,911.0,17741.0,233570.0,,,1702.0,1.0340775558166861,,0.057212107547488865,-0.22578184591914574
2020-06-10,52667.0,1857.0,23694.0,1567.0,97.0,751.0,,233570.0,,,1760.0,1.0551136363636364,,,0.5438423645320196
2020-06-11,54085.0,1954.0,24209.0,1418.0,97.0,515.0,9362.0,242932.0,,,1857.0,1.05223478729133,,0.15146336252937406,-0.09508615188257818
2020-06-12,55451.0,2044.0,25152.0,1366.0,90.0,943.0,,242932.0,,,1954.0,1.046059365404299,,,-0.03667136812411853
2020-06-13,56831.0,2113.0,25947.0,1380.0,69.0,795.0,,242932.0,8.0,8.0,2044.0,1.033757338551859,,,0.01024890190336758
2020-06-14,58226.0,2182.0,26986.0,1395.0,69.0,1039.0,,242932.0,,8.0,2113.0,1.0326549929010884,,,0.010869565217391353
2020-06-15,59293.0,2250.0,30125.0,1067.0,68.0,3139.0,18278.0,261210.0,,8.0,2182.0,1.0311640696608615,,0.058376189955137325,-0.23512544802867386
2020-06-16,60228.0,3167.0,31041.0,935.0,917.0,916.0,3370.0,264580.0,,8.0,2250.0,1.4075555555555554,,0.2774480712166172,-0.12371134020618557
2020-06-17,61587.0,3244.0,31338.0,1359.0,77.0,297.0,5028.0,269608.0,,8.0,3167.0,1.0243132301862963,,0.2702863961813842,0.4534759358288769
2020-06-18,62875.0,3311.0,31856.0,1288.0,67.0,518.0,,269608.0,,8.0,3244.0,1.0206535141800246,,,-0.05224429727740987
2020-06-19,64139.0,3425.0,32264.0,1264.0,114.0,408.0,9182.0,278790.0,,8.0,3311.0,1.0344306855934764,,0.13766064038335873,-0.018633540372670843
