state,district,date,population
Uttar Pradesh,Muzaffarnagar,12-08-2021,4138605
Uttar Pradesh,Pilibhit,12-08-2021,2037225
Uttar Pradesh,Pratapgarh - UP,12-08-2021,3173752
Uttar Pradesh,Prayagraj,12-08-2021,5959798
Uttar Pradesh,Rae Bareli,12-08-2021,3404004
Uttar Pradesh,Rampur,12-08-2021,2335398
Uttar Pradesh,Saharanpur,12-08-2021,3464228
Uttar Pradesh,Sambhal,12-08-2021,2217020
Uttar Pradesh,Sant Kabir Nagar,12-08-2021,1714300
Uttar Pradesh,Shahjahanpur,12-08-2021,3002376
Uttar Pradesh,Shamli,12-08-2021,1274815
Uttar Pradesh,Shrawasti,12-08-2021,1114615
Uttar Pradesh,Siddharthnagar,12-08-2021,2553526
Uttar Pradesh,Sitapur,12-08-2021,4474446
Uttar Pradesh,Sonbhadra,12-08-2021,1862612
Uttar Pradesh,Sultanpur,12-08-2021,3790922
Uttar Pradesh,Unnao,12-08-2021,3110595
Uttar Pradesh,Varanasi,12-08-2021,3682194
Uttarakhand,Almora,12-08-2021,621927
Uttarakhand,Bageshwar,12-08-2021,259840
Uttarakhand,Chamoli,12-08-2021,391114
Uttarakhand,Champawat,12-08-2021,259315
Uttarakhand,Dehradun,12-08-2021,1698560
Uttarakhand,Haridwar,12-08-2021,1927029
Uttarakhand,Nainital,12-08-2021,955128
Uttarakhand,Pauri Garhwal,12-08-2021,686527
Uttarakhand,Pithoragarh,12-08-2021,485993
Uttarakhand,Rudraprayag,12-08-2021,236857
Uttarakhand,Tehri Garhwal,12-08-2021,616409
Uttarakhand,Udham Singh Nagar,12-08-2021,1648367
Uttarakhand,Uttarkashi,12-08-2021,329686
West Bengal,Alipurduar,12-08-2021,1700000
West Bengal,Bankura,12-08-2021,3596292
West Bengal,Birbhum,12-08-2021,3502387
West Bengal,Cooch Behar,12-08-2021,2822780
West Bengal,Dakshin Dinajpur,12-08-2021,1670931
West Bengal,Darjeeling,12-08-2021,1842034
West Bengal,Hooghly,12-08-2021,5520389
West Bengal,Howrah,12-08-2021,4841638
West Bengal,Jalpaiguri,12-08-2021,3869675
West Bengal,Jhargram,12-08-2021,1136548
West Bengal,Kalimpong,12-08-2021,251642
West Bengal,Kolkata,12-08-2021,4486679
West Bengal,Malda,12-08-2021,3997970
West Bengal,Murshidabad,12-08-2021,7102430
West Bengal,Nadia,12-08-2021,5168488
West Bengal,North 24 Parganas,12-08-2021,10082852
West Bengal,Other State - WB,12-08-2021,
West Bengal,Paschim Bardhaman,12-08-2021,2882031
West Bengal,Paschim Medinipur,12-08-2021,5094238
West Bengal,Purba Bardhaman,12-08-2021,4835532
West Bengal,Purba Medinipur,12-08-2021,4417377
West Bengal,Purulia,12-08-2021,2927965
West Bengal,South 24 Parganas,12-08-2021,8153176
West Bengal,Uttar Dinajpur,12-08-2021,3000849
