Date,Daily Confirmed,Total Confirmed,Daily Recovered,Total Recovered,Daily Deceased,Total Deceased
44036,48888,1337016,32514,849999,763,31420
44037,50072,1387088,37125,887124,703,32123
44038,48932,1436020,31512,918636,704,32827
44039,46484,1482504,34354,952990,642,33469
44040,49631,1532135,35683,988673,774,34243
44041,52479,1584614,32886,1021559,775,35018
44042,54968,1639582,37425,1058984,784,35802
44043,57486,1697068,36554,1095538,764,36566
44044,55117,1752185,51368,1146906,854,37420
44045,52672,1804857,40355,1187261,760,38180
44046,50488,1855345,43070,1230331,806,38986
44047,51282,1906627,51220,1281551,849,39835
44048,56626,1963253,45583,1327134,919,40754
44049,62170,2025423,50141,1377275,899,41653
44050,61455,2086878,50387,1427662,936,42589
44051,65156,2152034,52135,1479797,875,43464
44052,62117,2214151,54474,1534271,1013,44477
44053,53016,2267167,47362,1581633,887,45364
44054,61252,2328419,56461,1638094,835,46199
44055,67066,2395485,57759,1695853,950,47149
44056,64141,2459626,54776,1750629,1006,48155
44057,65610,2525236,56920,1807549,989,49144
44058,63986,2589222,53116,1860665,952,50096
44059,58096,2647318,57404,1918069,952,51048
44060,54298,2701616,58172,1976241,880,51928
44061,65024,2766640,60455,2036696,1099,53027
44062,69196,2835836,59365,2096061,979,54006
44063,68518,2904354,61873,2157934,981,54987
44064,69029,2973383,62858,2220792,953,55940

44065,6193,2979576,2403,2223195,22,55962
