date,district,state,total.confirmed,total.deceased,total.recovered,delta.confirmed,delta.deceased,delta.recovered,delta.tested,total.tested,delta.other,total.other,levitt.Metric,MA.21.daily.tests,delta.positivity,MA.21.delta.positivity,delta.percent.case.growth,MA.21.delta.percent.case.growth,delta.hospitalized,total.hospitalized,delta.active
2020-05-18,Mumbai,MH,21335.0,757.0,3730.0,1185.0,23.0,232.0,162000.0,162000.0,,,,,0.7314814814814815,,,,154.04622229124735,154.04622229124735,16848.0
2020-05-22,Mumbai,MH,27251.0,909.0,6096.0,1751.0,27.0,327.0,2671.0,164671.0,,,0.18298184074003,,65.55597154623737,,0.4776371308016878,,274.0232324220703,428.06945471331767,20246.0
2020-05-25,Mumbai,MH,31972.0,1026.0,7584.0,1430.0,38.0,501.0,10170.0,174841.0,,,0.12107793155323592,,14.060963618485742,,-0.1833238149628783,,176.14810864511617,604.2175633584338,23362.0
2020-05-27,Mumbai,MH,34018.0,1097.0,8408.0,1044.0,32.0,395.0,10860.0,185701.0,,,0.06691143454451537,,9.613259668508286,,-0.26993006993006996,,132.3867597112522,736.6043230696861,24513.0
2020-05-28,Mumbai,MH,35485.0,1135.0,8650.0,1467.0,38.0,242.0,4266.0,189967.0,,,0.034053469640272845,,34.38818565400844,,0.4051724137931034,,218.10406833395587,954.7083914036419,25700.0
2020-06-01,Mumbai,MH,41099.0,1319.0,16985.0,1413.0,40.0,194.0,11540.0,201507.0,,,0.1502412228018116,,12.244367417677642,,-0.036809815950920255,,193.57533855611163,1148.2837299597536,22795.0
2020-06-03,Mumbai,MH,43492.0,1417.0,17472.0,1276.0,49.0,259.0,10574.0,212081.0,,,0.07166808697336574,,12.067334972574239,,-0.09695682944090589,,183.02259523002405,1331.3063251897777,24603.0
2020-06-04,Mumbai,MH,44931.0,1465.0,18096.0,1439.0,48.0,624.0,3748.0,215829.0,,,0.03331328176048724,,38.39381003201708,,0.12774294670846387,,189.59064470922377,1520.8969698990015,25370.0
2020-06-09,Mumbai,MH,51100.0,1760.0,22943.0,1015.0,58.0,911.0,17741.0,233570.0,,,0.18345856658102988,,5.721210754748887,,-0.2946490618485059,,153.8518615894066,1674.748831488408,26397.0
2020-06-11,Mumbai,MH,54085.0,1954.0,24209.0,1418.0,97.0,515.0,9362.0,242932.0,,,0.10456474457053049,,15.146336252937406,,0.3970443349753694,,226.16878223610803,1900.917613724516,27922.0
2020-06-15,Mumbai,MH,59293.0,2250.0,30125.0,1067.0,68.0,3139.0,18278.0,261210.0,,8.0,0.14105166259573776,,5.837618995513733,,-0.24753173483779967,,155.563967176131,2056.4815809006473,26918.0
2020-06-16,Mumbai,MH,60228.0,3167.0,31041.0,935.0,917.0,916.0,3370.0,264580.0,,8.0,0.3418545513401739,,27.74480712166172,,-0.12371134020618557,,112.47556897658757,2168.9571498772348,26020.0
2020-06-17,Mumbai,MH,61587.0,3244.0,31338.0,1359.0,77.0,297.0,5028.0,269608.0,,8.0,0.024022368696663837,,27.028639618138424,,0.4534759358288769,,172.16360826680702,2341.1207581440417,27005.0
2020-06-19,Mumbai,MH,64139.0,3425.0,32264.0,1264.0,114.0,408.0,9182.0,278790.0,,8.0,0.05429433546102221,,13.766064038335873,,-0.06990434142752022,,163.6857498361362,2504.806507980178,28450.0
